"","id","sent_time","day","email_id","open_time","predicted_values","residual_values"
"71",224,1138,3,211,725,960.414288047428,-235.414288047428
"72",2010,881,5,86,949,920.322348613127,28.6776513868734
"73",1193,1150,4,232,946,954.405646330854,-8.40564633085426
"74",1711,1131,3,105,643,954.854103342448,-311.854103342448
"75",2036,881,5,75,972,919.79731865153,52.2026813484698
"76",120,1090,3,143,1182,953.734556341625,228.265443658375
"77",883,961,5,282,891,935.400914500856,-44.4009145008559
"78",2168,881,5,11,900,916.742598874969,-16.7425988749692
"79",1909,881,5,328,882,931.873007768248,-49.8730077682478
"80",240,1090,3,69,789,950.202536599977,-161.202536599977
"81",1902,881,5,294,881,930.25018788695,-49.2501878869498
"82",904,1150,4,209,1153,953.307856411153,199.692143588847
"83",1664,1131,3,178,1406,958.338393087588,447.661606912412
"84",1565,1131,3,169,1205,957.908823119009,247.091176880991
"85",128,1090,3,224,1195,957.600686058835,237.399313941165
"86",1751,1131,3,149,785,956.954223188834,-171.954223188834
"87",1187,1150,4,76,860,946.959766875487,-86.9597668754869
"88",954,1150,4,11,1179,943.857317102417,235.142682897583
"89",938,1150,4,136,1170,949.823566666013,220.176433333987
"90",813,654,2,130,1127,929.79055919861,197.20944080139
"91",990,1150,4,66,1215,946.482466910399,268.517533089601
"92",1489,999,3,3,1063,940.541890854735,122.458109145265
"93",93,1090,3,124,1162,952.827686407959,209.172313592041
"94",718,654,2,257,1245,935.852268755223,309.147731244777
"95",1678,1131,3,37,66,951.608463579852,-885.608463579852
"96",1320,1150,4,76,809,946.959766875487,-137.959766875487
"97",463,1090,3,139,771,953.54363635559,-182.54363635559
"98",1671,1131,3,189,1436,958.863423049185,477.136576950815
"99",1793,1131,3,149,1009,956.954223188834,52.0457768111661
"100",1,994,2,94,994,952.397097255342,41.6029027446578
"101",946,1150,4,229,1175,954.262456341328,220.737543658672
"102",210,1090,3,48,698,949.200206673293,-251.200206673293
"103",582,654,2,230,1028,934.563558849486,93.4364411505138
"104",298,1138,3,211,1136,960.414288047428,175.585711952572
